"QAINDEX";"CLINIC";"QUESTION";"ANSWER";"SNAPSHOT"
1701;"口腔颌面科";"唇炎半年多了,一直爆皮";"你好，有图片看一下吗？ 有没有痂皮？ 我得需要了解是哪一种类型，才能给你推荐治疗方案 唇炎也不是特别麻烦的疾病，当然可以根治 有 你这半年是怎么治疗的？ 医生给你说过饮食的问题吗 平时生活中补充维生素，多吃青菜水果 这是根本 然后才是对症治疗 你去药店买氯已定漱口液，加热后热敷嘴唇，把皮热敷软，然后涂红霉素软膏 白天涂唇油，晚上红霉素软膏 如果唇油效果不好，白天换肤轻松软膏 唇炎和感冒一样，一次治疗好后，如果再达到犯病的症状，也会重新获得的，你不可能终身免疫的 肤轻松软膏，这两个交替用 白天用肤轻松软膏 用之前，热敷嘴唇 是含激素 肤轻松软膏是唇炎常用药 不要畏惧激素 使用正确就行 最主要是饮食调节";2020/3/19
1702;"口腔颌面科";"智齿坏啦,老是疼,应不应该拔掉?（...";"您好，如果智齿经常疼痛的话就应该尽早拔掉 反复的智齿冠周炎容易形成比较重的感染";2020/3/19
1703;"口腔颌面科";"口腔溃疡挺大的能用醋酸地塞米松口腔贴片吗";"你好，你说的这个药没什么危险 可以贴 好得快 可以用 不影响 可以 不客气";2020/3/19
1704;"口腔颌面科";"牙龈痛喉咙痛牙龈上有个小泡泡怎么回事";"您好，这种情况有多长时间了呢？ 牙龈哪个部位啊？ 之前有过吗？ 是不是在长智齿？ 嗯嗯 可能是在长智齿 痛的话可以吃点阿莫西林+甲硝唑 两三天后就差不多好了 用淡盐水漱口 不要吃辛辣刺激性食物 嗯嗯 主要还是有炎症了 口腔溃疡贴你估计不要贴吧 太靠里了 嗯嗯 有可能，你现在不是17岁 智齿一般就是18岁左右长的 嗯嗯 因为智齿还没长出来，只能说有可能是智齿冠周炎 你可以等疫情结束，去口腔科拍个片子看一下 有没有智齿 嗯嗯 吃点消炎药 阿莫西林+甲硝唑 两三天就好了呢 淡盐水漱口 这个也好用 没事";2020/3/19
1705;"口腔颌面科";"80岁老人眼干口干口苦一年多口腔溃疡三个月不好咋办";"你好，这种情况高度怀疑老人有舍格伦综合征 这是一种唾液腺退化的疾病 最好领老人去口腔科做个唾液腺检查，然后于风湿免疫科就诊 可以缓解的 近期先给她多吃些酸性水果，促进唾液分泌 人老了，唾液腺体退化了 嘴里干燥 就容易溃疡 别一直用漱口水 用多了不好 用 眼药水不要带激素的 普通润滑的就可以 药物得确诊才行 建议做个唾液腺检查 就能确诊 可以用一点贝复新凝胶 医院有卖的 药店够呛能有 嗯 抽空去做唾液腺检查 如果是，得去风湿免疫科治疗  对 促进愈合的 可以 可以淡化疤痕";2020/3/19
1706;"口腔颌面科";"牙龈与牙齿分离";"你好请问是哪颗牙。。 麻烦可以拍一下那个牙齿的照片吗 那个是智齿 平时有没有发炎 如果是智齿，建议拔掉比较好。那个牙龈和牙齿之间容易积聚食物残渣，容易引起炎症 等怀孕后再拔 等生小孩后再拔 可以刷牙可以多刷一下那个地方 注意清洁 可以每天用康复新液漱口水漱口 不客气";2020/3/19
1707;"口腔颌面科";"舌头有红点点舌苔白腻用康复新液有用吗";"你好，可以看下舌头了解清楚情况 用康复新液可以，但是首先刷牙要刷干净三餐饭后刷，然后舌头也要轻轻刷一下。 可以的康复新液本来就是口服液。 你要含在嘴巴里面漱一漱一分钟左右再吐掉。 对呀，不用喝下去。 漱口的话一般不会。 普地兰这种中成药没有什么研究说跟其他药有什么禁忌的，它本身就没有做过很多研究。 但是你漱口了，你吐出来一般没有什么关系。 舌苔平时刷牙的时候舌头要刷一刷。 大部分是因为没有刷干净。 是三餐饭后刷吗？然后舌头也有刷吗？ 早上中午晚上都要刷，是要三餐饭后刷，不是早晚刷牙，早晚刷牙不够。 就是轻轻的刷。三餐饭后要刷牙，然后舌头轻轻的刷一下。 正常饭后就是要刷牙的呀，因为菌斑成熟大概9个小时，你早上刷一次牙，然后早饭午饭晚饭都没有刷，等到快睡觉了刷这个肯定是不够的。 是口腔卫生不良引起的，有可能是口腔念珠菌感染引起的，平时舌头有什么症状吗 你可以用2%的碳酸氢钠溶液含漱。含在嘴巴里面大概一分钟左右再吐掉。每天大概5~6次。 应该的，客气了 哈哈，谢谢！ 嗯嗯好的，谢谢谢谢 嗯！ 可以的 不会那么快就好的。最好还要用一下2%的碳酸氢钠溶液。也有可能是念珠菌感染。";2020/3/19
1708;"口腔颌面科";"咬着盐可以治疗牙疼吗（女，29岁）";"你好，请问你是哪颗牙齿疼痛呢？ 你好！你的牙齿有蛀牙吗？ 牙疼止痛的话，可以吃点布洛芬胶囊";2020/3/19
1709;"口腔颌面科";"69岁女性牙齿疼痛怎么办";"你好，现在全国口腔科都是停诊的状态，我看了，您母亲的这个牙只能拔掉 除了吃止疼的 可以吃一点奥硝唑 辅助炎症的控制 是会有效果的 诊所不敢，可以去医院啊 医院是有监护的 奥硝唑先吃上 别让老人受罪 这个就已经很小了 别的要么就是不好用要么就是副作用更大 就先吃这个吧 不客气";2020/3/19
1710;"口腔颌面科";"医生您好，这是我的问题：大牙前面的...";"您好，您问的会不会掉的牙是乳牙吗？正常情况下，13岁的女孩基本上都是恒牙了，恒牙的话就不会掉了 方便的话拍个照片看一下";2020/3/19
1711;"口腔颌面科";"矫正牙齿前牙齿位置很好矫正了一年半还没完怎么办";"您好，方便拍下牙齿照片来吗？我看下 牙齿咬住 拍一下 现在是有点左移 你是不是疫情期间好久没有去复诊了？ 那你有没有给医生沟通啊？ 医生发现左移了嘛？ 嗯嗯，如果现在是在排齐阶段，是有可能的 你之前上面的牙齿有缺牙吗？ 你最开始为什么做正畸呢？ 如果是缺牙，可能现在是在关间隙 所以牙齿会移位 也是正常的 关了间隙之后，再重新调整，把牙齿中线对齐 您是在诊所正畸的？还是正规医院正畸的？ 嗯嗯，正畸的原理就是通过牙齿移动来改变牙齿的位置，牙根是否会有吸收，一方面是您自身牙齿牙槽骨的情况，另一方面是医生加力的大小 缺的是哪两颗牙？ 是对称的吗？ 都是磨牙？ 还是有个磨牙，有个前磨牙？ 我建议您可以去比较知名的口腔医院的正畸专家给您看一下，但是正畸医生都不会中途接一个旁人的正在正畸的患者，所以您可以先检查咨询看看这个专家的意见，然后可以把意见转达给您现在正在正畸的医生 正畸医生每个人的风格都不太一样，理念也都不是很相同，所以都有很多学派 现在医院口腔科已经开始预约就诊了";2020/3/19
1712;"口腔颌面科";"治疗牙齿牙龈处有脓包,突然发炎,疼痛难忍,是神经痛";"你好，这种情况是牙齿有炎症引起的。需要去重新做根管治疗 建议去口腔科拍个片子看看炎症严重程度 可以吃点消炎药奥硝唑，头孢等 还需要去口腔科处理 可以一起的 吃药后不能喝酒 需不需要拔牙要拍片子检查，如果牙齿松动，炎症过重，就有可能要拔牙 不客气";2020/3/19
1713;"口腔颌面科";"最近牙齿吃热的痛吃常温的就不觉得怎么回事";"你好，你说的这种疼是持续的疼，还是就一下的那种瞬间疼 那很可能是龋齿 建议等解禁以后，去口腔科拍个片，看看是不是有牙侧面有龋坏 不客气";2020/3/19
1714;"口腔颌面科";"嘴唇上长一粒一粒的东西";"很荣幸为你回答囗腔方面的问题！ 你好，能拍张照片看看吗？ ？多长时间了？有什么感觉？ 把唇膏擦掉重新发一下 你是怎么感觉一粒一粒的？ 照片，就看着有个包 没看出颗粒来 嗯嗯 手摸能摸出来吗？ 掉皮是唇炎 就会痒痒的 可以涂一下药膏 红霉素软膏 吃点维生素c片 别去舔咬嘴唇 可以 平时还是用凡士林保湿 你说的颗粒，可能是唇腺 嗯嗯 奥奥 前几天有伤到过吗 嗯嗯 多喝水 忌辛辣 嗯嗯 有可能是炎症引起的肿胀";2020/3/19
1715;"口腔颌面科";"口腔溃疡溃疡能吃葱姜吗（男，23岁）";"你好，溃疡有多久了呢？ 在什么部位，能拍张照片看一下具体情况吗？";2020/3/19
1716;"口腔颌面科";"大牙一碰到就会疼没有肿吃饭也不能咀嚼怎么回事";"您好，不碰它疼不疼？ 是哪颗牙 是智齿吗 多久了 您这个符合根尖周炎症状 我建议您去口腔科拍个片子 可以 吃点布洛芬 不客气，祝您早日康复 可以的";2020/3/19
1717;"口腔颌面科";"6个月婴儿出牙前牙龈疼痛哭闹有什么办法解决";"拿那种牙胶放冰箱冰一下，然后给宝宝咬。 会的，有的长牙的时候宝宝会发烧。 多用牙胶给他咬一咬，放冰箱冰一下。 不用什么药吧，体温如果不是很高，物理降温一下看看。 一般长出来了就好了过几天。 一般不会的，如果发烧你还要看一下有没有感冒什么的。 应该的，客气了";2020/3/19
1718;"口腔颌面科";"牙疼牙肿淋巴疼吃什么药（男，44岁）";"你好！你的牙齿有蛀牙吗？ 是怎么疼，直疼，还是咬东西疼，还是遇冷热疼，还是晚上疼痛加重？";2020/3/19
1719;"口腔颌面科";"乳牙只剩剩根了,怎么办";"您好！方便拍张照片让我看看吗？ 这些烂牙根建议拔掉 建议拔掉不然会影响换牙 要拍牙片结合临床检查才知道 你多做做孩子的思想工作吧 这么大了不配合医生也没办法 可以 嗯";2020/3/19
1720;"口腔颌面科";"牙龈发炎还有脓怎么办";"您好。能拍个照片看看？ 是智齿冠周炎吗 看不清楚， 牙齿松动吗？ 照片不清楚，不能确定 现在特殊时期也不方便去医院，先口服消炎药吧 1.甲硝唑/替硝唑/甲硝唑维B6/奥硝唑）2.头孢克肟/阿莫西林/头孢克洛1和2里各选择一种，饭后半小时口服服用消炎药期间忌酒！ 肿疼严重的话，输液也行 输甲硝唑和头孢 如果有消毒的东西可以挑破，用碘伏消毒 如果不管，他自己也能破 嗯，可以 用棉签局部涂擦就行 酒精可能有点刺激";2020/3/19
1721;"口腔颌面科";"正常婴儿上唇系带图片你好小朋友唇系带短";"你好，方便拍下照片来吗？ 你好，感谢信任，为了给您更加精准高效的回复，请传清晰照片看看，谢谢！ 还好啊，不用处理 这是唇系带科普，供您参看 不客气，祝宝宝健康快乐成长 亲周四早上好！不明之处欢迎继续咨询，祝您生活愉快！";2020/3/19
1722;"口腔颌面科";"牙龈上面有个凸出来的像痘痘一样的东西怎么回事";"你好这个包说明下面的牙齿牙根有炎症建议你去医院拍个牙片看看 牙根的炎症口服消炎药断不了根不过你可以试试 等牙科开诊了最好去医院看看 吃药期间不喝酒 不客气";2020/3/19
1723;"口腔颌面科";"这个牙齿掉了怎么报销的是";"你好，是哪颗牙齿呢？ 另外，你说这个板牙咱们不同地区对板牙的说法是不一样的 我们这里认为呢，板牙就是大门牙的意思，不知道你说的是不是这个意思？ 有一些地区的人值得板牙，是后面的大牙，尤其是南方的朋友一般认为板牙是大牙 这个你是说镶牙呀，还是说治牙？ 种植牙是不能报销的 除非你有个别的商业保险，正常的医保是报不了的";2020/3/19
1724;"口腔颌面科";"拔牙会不会感染乙肝病毒呢?三级乙等医院";"你好，只要是正规医疗机构，消毒设施完善，就基本不会得乙肝的， 我也不知道啊。。。。要是不放心的话可以去三甲医院，设施方面肯定更好一些，";2020/3/19
1725;"口腔颌面科";"舌根长肉疙瘩是菌状乳头炎怎么治疗";"你好，这种情况多长时间了？ 你好，请问有什么症状吗？ 有什么不舒服的吗 能拍张照片吗 我看一下 这是菌状乳头炎 可以用氯己定漱口液试试 口服吃点消炎药 不像 细菌感染引起的 我建议您去再查个血常规 看一下具体情况 看一下中性粒细胞 血小板 白细胞 一般一个小时 一般一二百 不严重 不用手术 您这需要拍片子 去大医院啊 看看能不能拍个片子 根尖周炎一般会引起骨头吸收 不过经过根管治疗一般都能干 好 不好意思，很抱歉，接诊患者比较多，这不是您的病情回答 您这先吃药吧 观察一段 另外买点漱口水 漱漱口 目前没有特别好的处理方式，只能保守治疗 不好意思，因为现在是高峰段，病人太多，由此给您带来不便，十分抱歉 异物感强烈吗 ？ 看不到喉咙渗出 深处 不好判断的 先观察看看 如果加重，就去耳鼻喉科查一下 没事，先吃药观察吧 祝您早日康复 问题已经解答完毕，如有疑问可以再次追问哈！要是没问题，欢迎您给我一个“满意”评价，评价页面因系统版本的不同而不同，一般问题关闭后显示评价按钮，您的“满意”是对我的支持和鼓励。 我是孔文宁医生，如果您需要再次咨询，可以找到过往咨询记录，点击我的头像进入主页进行咨询。若头像不能点击，请向客服反馈。祝您身体健康。";2020/3/19
1726;"口腔颌面科";"后面的上下牙齿碰到一起时候一点点酸痛,牙龈肿了一个月左右";"这个因人而异，每个人情况都不一样，有的三两天，有的一两周都有可能 有没有酸疼？像倒牙一样的感觉呢？ 是牙齿过敏，我们这边叫倒牙 不敢咬东西，一吃特别疼，酸软的感觉 或者是有硬物刷牙碰到某一点上特别酸，尖锐的疼痛 你说的不能碰到一起，是牙齿牙根疼吗？ 这个是不会的，如果健康的牙齿吃再多的东西也不会造成松动的 吃点阿莫西林和人工牛黄甲硝唑 淘宝可以，但是需要同时配合甲硝唑才有效果的 主要还是甲硝唑有作用 如果方便就医的话，还是最好找医生看一下更好，因为我现在看不到你的具体情况，也没有牙片什么的，单纯分析应该是压根么炎症，所以你可以吃点抗生素，加上甲硝唑 头孢也可以，但是需要配合甲硝唑的 一般来说是一天三次，一次呢是两粒，但是具体每个厂家的生产药物，它的剂量不太一样，你还是以说明书为准，或者是把说明书发给我看一下 吃的时间不需要超过一周五天左右吧，没有效果就不用再吃了需要！看看是不是其他原因造成的 如果家里头孢是0.125克的话，一般是每次0.25克，一天两次 打错了，是一天三次 甲硝唑呢，一般是01g的剂量也是一次两粒，一日三次 头孢的话倒是可以空腹吃甲硝唑，不建议空腹吃，因为这个药刺激胃 这图片太模糊了 但是模糊的话也能看出来牙龈的确是发炎了，需要洗洗牙 不知道这个地方具体情况怎么样？能不能拍个清晰点的图片？ 你这个可能是和拍摄的角度有关系，图片都是非常模糊，我这里看不清啊！ 像你这个情况，需要定期洗牙，一年洗牙1到2次 图片很模糊，就好像是摄像头上有一层水雾一样 如果有刷牙出血的症状，应该是牙龈炎无误了 有没有洗过牙呢？ 这个现在并不影响治疗的 但是要疫情结束呢，也没有问题 不会变成什么太严重的症状 现在你可以买一个小头儿，圆头的软毛的牙刷，仔细刷牙，可以上网搜索一下巴氏刷牙法，参考一下 也可以用点儿中草药之类的药物牙膏 有一些轻微的呢，会得到缓解或者就好了 这个吃消炎药没有什么太大的作用 我指的是单纯的牙龈炎，牙龈出血啊，你那个牙齿一碰就疼的话，吃点消炎药倒是可以 这症状属于常见症状，不算很严重 牙龈出血的问题，洗牙就可以解决了 至于你说那个后牙咬合疼痛的问题，需要面诊检查，看看是什么原因造成的？";2020/3/19
1727;"口腔颌面科";"蛀牙疼痛两周有没有药止疼消炎";"您好，请问您的牙齿晚上有疼过吗？ 噢，这样的话最好是去诊所或者医院补一下，如果不方便的话可以服用人工牛黄甲硝唑 阿莫西林，然后尽早去治疗 这个吃药治标不治本的 不客气";2020/3/19
1728;"口腔颌面科";"上火智齿周围疼有一条白色的线怎么回事";"您好？刚刚正在晚饭，回复晚了，抱歉啊！ 您好！刚刚正在晚饭，回复晚了，抱歉啊！ 白色的线就是咬合线。 那个颗粒不像迷脂症。有点大。 很可能与智齿咬到或者摩擦有关系。 其实我建议您还是等疫情稳定后，拔除智齿为好。 智齿位置太靠后，刷牙不容易刷到。 很容易蛀牙，还会咬到颊部黏膜。 智齿呢，一般认为是多余的牙齿，拔除后都不用镶牙，我本人就是在大学期间分次拔除了上下左右四颗智齿。 也有可能。 不疼不痒，也可以不用管它。 您的右侧智齿位置有点偏向颊侧，就容易摩擦或者咬到颊部黏膜的了。 不算正。 说实话，有点偏向颊侧。 要是我，我会拔除的。 如果是我家人，我也会建议拔除智齿。 没什么用的牙齿。 嗯嗯，目前看不会是不好的东西。 您放心！ 但如果智齿反复咬到或者摩擦，时间很长，也有癌变的可能。 所以这种情况，我都建议拔除智齿为好。 是的，目前没有问题。 我们就见到过智齿反复咬到或者摩擦引起的口腔次的。 我们就见到过智齿反复咬到或者摩擦引起的口腔癌的。 嗯嗯，好的。 不用客气的 祝您身体健康，快乐每一天";2020/3/19
1729;"口腔颌面科";"上面的大门牙怎么长成这样了应该怎么弄";"这个是之后才这样的吧，应该不是一长出来就这样的吧？ 他这个牙是换的牙吗？ 他这个牙是恒牙吗？ 这颗牙是最近长出来的，对吗？ 那这颗牙可能是多生牙。你要去医院拍个片看一下。拍个片数一下牙位看看。 就是说可能里面还有正常的牙胚这个是多余的牙齿。 如果是多余的牙齿就要拔掉。 这个看形态很像是多生牙。 如果是多生牙的话，你就拔掉它里面正常的牙才有位置长。 多生牙就是多余的，牙齿要拔掉的。 对，你要抓紧时间先去拍个片，看一下到底是不是这个问题。 嗯嗯";2020/3/19
1730;"口腔颌面科";"牙龈红肿碰的话会流血怎么回事";"你好，牙龈发红易出血是牙龈炎 跟牙结石有关，抽空洗洗牙就好了 如果比较严重，可以用用漱口水，用云南白药牙膏 不需要吃药";2020/3/19
1731;"口腔颌面科";"牙缝有黑色快表面光滑会是龋齿吗";"您好您图片拍的牙齿发黑的部分应该是龋齿 龋齿不一定是牙洞 过段时间再去吧 不客气";2020/3/19
1732;"口腔颌面科";"口角炎服用了五维甘草那敏胶囊,外用夫地西酸乳膏,可以饮酒吗";"你好？你这种情况有多久了呢？ 最好不要喝酒 拍个图片给我看看吧 现在有没有熬夜 辛辣刺激的食物有没有吃 这有点太晚了 你这种情况辛辣刺激的不能吃了 还有作息一定要规律 不是的要改变你的生活习惯和饮食习惯的 不客气的";2020/3/19
1733;"口腔颌面科";"先天性嘴唇上翘，与遗传因素有关，请...";"你好，乳牙列，现在可以去看看是否有骨头的发育异常 如果有，现在就应该干预了 如果没有等到.10-12岁";2020/3/19
1734;"口腔颌面科";"根管治疗后牙一直隐隐疼不舒服怎么办";"你好，是吃东西疼还是不碰都疼？ 你拍的片子是牙片撒，可以发一张过来么 一般疼痛可能是牙根折断或者根管系统复杂，遗留有分叉根管 这个普通的片子可能看不到，需要c't 牙根折断只能拔牙，遗漏就只能重新根管治疗或者进一步做根尖手术 一般是这两种，还有对牙胶过敏这些问题，不过很少见";2020/3/19
1735;"口腔颌面科";"门牙掉了有一个多月了咋办";"您好门牙整个掉了吗？ 怎么掉的？掉了多久 那可以去医院做个临时的隐形义齿 三个月后去种牙 种植牙一颗一万多";2020/3/19
1736;"口腔颌面科";"孕妇口腔溃疡可以吃众生丸吗（女，28岁）";"你好，不建议口服药物 口腔溃疡尽量涂上点东西就行， 涂上点口腔溃疡散就可以 好好啊啊啊啊啊啊啊啊啊啊！";2020/3/19
1737;"口腔颌面科";"右边上牙疼脸颊右眼疼痛怎么办";"您好，很高兴能为您解答问题！ 请问您平时有冷热刺激疼痛吗？ 晚上疼痛吗？ 有没有图片可以发过来看一下？ 以前有这种情况吗？ 嗯，根据您的描述，您应该是牙髓炎急性发作。目前只能保守治疗，如果当地的牙科开诊，就可以去牙科治疗了。一般都需要进行牙髓治疗，如根管治疗。才可以从根本上控制疼痛，解决问题。如果牙科没有开诊，您在家可以口服头孢类抗生素加用甲硝唑，另外口服止痛片如布洛芬，缓解疼痛。夜间睡觉时保持头高位，平日尽量避免各类温度刺激哦！ 不用谢 有空去帮我评价一下哦 谢谢支持工作";2020/3/19
1738;"口腔颌面科";"舌头下面长了个小红包吃东西特别疼怎么回事";"您好，方便拍下舌部照片来吗？我看看 多久了？ 最近有没有吃辛辣刺激东西，或者有没有硬东西刺伤？ 照片上看发红，应该是溃疡， 因为是舌头上经常活动所以比较疼，愈合慢， 可能是上火或者局部刺激 忌辛辣刺激东西，注意口腔卫生，多补充维生素，";2020/3/19
1739;"口腔颌面科";"牙痛四五天上牙倒数第二颗稍有松动怕凉怕热怎么办";"您好您说的情况可能是急性牙髓炎的症状 如果痛的不厉害先吃点消炎药头孢和甲硝唑再吃个止痛药痛的厉害得去看牙科急诊 我们医院牙科开了急诊的 宁波的 您可以百度看看附近哪些医院牙科有急诊的 牙科急诊还好的 家里有吗 那别吃了 先忍着吧 这个不一定管用 你用用看吧 嗯 不客气";2020/3/19
1740;"口腔颌面科";"长智齿疼一直没拔现在智齿的整个完全长出来了咋办";"你好，方便拍下牙齿照片来吗？ 那好吧一般是不会的 如果不想拔牙可以先把那个切除看看 嗯看到了 如果想要彻底一点就直接拔掉智齿创面会慢慢长好的 智齿上覆盖的牙龈 不会的 是这里吗？ 那你指的是? 那这个就只能拔智齿了 嗯看到了 最近尽量先吃一些比较软的食物不要吃辛辣刺激的尽快去医院具体检查一下看看能不能拔掉 打麻药的 这个没有特定的必须拔上牙或者拔下牙主要考虑哪个位置不正可能哪个影响大 嗯 要是没问题，欢迎您给我一个“满意”评价（评价按钮在页面右上角，问题关闭后页面下面也可评价）。春雨系统会自动赠送您一张复诊优惠券。";2020/3/19
1741;"口腔颌面科";"最近下嘴唇肉里长了个白灰色的小疙瘩怎么回事";"您好，很高兴能为您解答问题！ 是否可以拍张照片发过来看一下？ 图片中适当标注一下病变的位置哦 可能是一个皮样囊肿哦 目前没有发炎症状的话尽量不要去刺激它，这个是需要手术治疗的，门诊局麻手术就可以了！ 嗯，小手术。有时候长大了会继发感染，带来疼痛，也会造成唇外形的改变哦 不用谢哦";2020/3/19
1742;"口腔颌面科";"右边腮帮子老是有酸酸的感觉怎么回事";"很荣幸为你回答囗腔方面的问题！ 你好，请问这种情况多久了？ 发张照片看看什么情况 疼吗？ 发张照片看看啊 口内有牙疼过吗？ 吃饭有影响吗？ 吃饭时候肿胀吗？ 是不是长智齿 口内发一下 嗯嗯 一般是牙引起的 有可能和你牙疼有关系 让别人帮忙拍一下 肿的地方按着什么感觉？ 嗯，吃消炎药了没？ 嗯嗯 看着像是有蛀牙 最近吃什么来？ 比较硬的 或难嚼的 张闭口什么感觉 有可能是累着了 晚上做做热敷 观察两天 如果加重，就吃 不加重，就不用吃 有加重？ 看照片，也没看出比较肿来 可以吃三四天头孢 嗯，看着口内也没太大问题";2020/3/19
1743;"口腔颌面科";"口腔很疼,一层白膜,很多天了";"您好，这种情况有多长时间了？ 你说的白膜是这两个位置吗？ 可能是上颌张智齿了 长 咬到下颌牙龈了，黏膜都发白了 可以考虑把智齿拔掉 对的，最好是把智齿拔掉 如果您需要再次咨询，可以直接搜索我的名字，进入主页后再次找我咨询。 要是没问题，欢迎您给我一个“满意”评价（评价按钮在页面右上角，问题关闭后页面下面也可评价）。春雨系统会自动赠送您一张复诊优惠券。";2020/3/19
1744;"口腔颌面科";"兜齿差不多8年了脸长矫正了脸会变小吗";"您好矫正不会改变脸的大小但兜齿要早做矫正 不一定只能试着看 如果矫正效果不好等成年了去做手术吧";2020/3/19
1745;"口腔颌面科";"牙齿发炎会引起面部淋巴结肿大输液";"你好，有这种可能的，尤其是炎症特别明显的情况下，可以引起局部淋巴结肿大的，因为淋巴结是免疫器官，有排除细菌病毒的作用 淋巴结能抵御细菌和病毒的入侵，起到防御作用 你好，请问您用的是什么药？ 也不排除药物的不良反应，如果疼痛不明显，可以暂时观察下，疼痛有加重情况，建议及时去医院做个检查看下 不客气 问题已经解答完毕，如有疑问可以再次追问哈！要是没问题，欢迎您给我一个“满意”评价，评价页面因系统版本的不同而不同，一般问题关闭后显示评价按钮，您的“满意”是对我的支持和鼓励。";2020/3/19
1746;"口腔颌面科";"牙疼脸都肿了突然发烧到37.5怎么回事";"您好，很高兴能为您解答问题 请问您牙疼的具体部位在哪里？ 是否有冷热刺激痛？ 牙齿是否能上下碰在一起？ 下面还是上面？ 是否有冷热刺激痛？ 上下牙齿能碰在一起吗？";2020/3/19
1747;"口腔颌面科";"下牙齿突出一颗";"您好，方便拍下牙齿照片看下吗 是的，你是想怎样 是否拔牙是要采集数据分析计算后才知道的 你这个想排齐是可以戴牙套的 嗯，理解，临床上有适合你的，这个也需要根据你自身情况来选择 到时候医生会给你出方案 你再根据你的经济情况选择就好，不一定越贵越好，只有适合自己的最好 不客气 一般两年左右 会有轻微改变 大体不会变 这个我预测不了 大多数是变漂亮的 不客气 不客气";2020/3/19
1748;"口腔颌面科";"蛀牙慢慢裂掉现在蛀的特别厉害咋办";"您好！您能拍张照片让我看看吗？ 过几天一般不要紧的。 能补牙还是要拔掉，要拍个片看一下那个牙坏到什么程度，如果牙的组织还剩的够的话，就不用拔牙。 补牙就是我上面说的呀。这个牙直接补，肯定是补不了了。肯定是要么做神经再做个牙套，要么直接拔就这两种。 拔牙的价格可以忽略不计，大概就是几百吧。 现在不是有没有害的问题是你如果牙坏的很严重，你只能拔，不拔才有坏处。 好吧，反正你也拖了这么久了。。。。 牙有小洞就要去做，不能等到这么严重。 嗯";2020/3/19
1749;"口腔颌面科";"嘴里面长了一个水泡是什么";"很荣幸为你回答囗腔方面的问题！ 唇黏液腺囊肿 自己好不了 需要手术切了 不严重 小问题 是的 挂口腔科 一般是伤到了 应该陆续开了吧 打麻药 也要缝针 快的话，半小时就好了 随做随走 不用住院 切下来做症理 这个表浅的，打了硬化剂也不好 只是不是囊肿了，有可能变成个疙瘩 效果也不好 这个囊肿多大，切口就多大 没办法再微创了 只要不是疤痕体质，一般是看不出来的 有磕破过吗？如果是疤痕体质，疤会很大很明显 不了解中医 那一般就不是，如果是的话，小伤口，也是很明显的疤 疤都是突出来的  唇黏液囊肿，首选手术 注射药物很少用 应该是碘酊或碘伏吧 嗯 会反复起的 等长起来吧 明显，好什 好做 别感染了就行 正常就行  没办法预估 如果不伤着 一般不会再加重 这包是持续性的鼓 要么自己咬破 要么撑破 这东西不会恶变";2020/3/19
1750;"口腔颌面科";"牙龈肿痛并有脓用什么药";"您好，请问这种情况多长时间了？ 方便拍下牙龈照片来吗？ 这个叫牙周脓肿，牙周炎引起的。 方便的时候局部上药，治疗一下牙周炎。 这种情况吃药效果不好。 吃药也除不了根。 这个牙松动吗？ 冷热痛也是牙周炎导致的。 吃药就用利君沙和甲硝唑吧。 是口服药，处方药。 局部上药得去医院。 不客气 不用客气。";2020/3/19
1751;"口腔颌面科";"牙齿里面有一个洞黑黑的那个是什么洞";"你好，可以拍张图片看一下么？ 你这照片拍的不清楚 这是上面前牙的里面是吗 这个就叫舌窝 你这照片拍的看不清楚啊 旧牙是指牙齿没换过";2020/3/19
1752;"口腔颌面科";"门牙牙缝大怎么就医";"你好，方便拍下牙齿照片来吗？ 牙缝是最近才开始变大的还是原来就挺大的。 您可以做矫正呀。 就是戴那个矫正器把缝隙关闭，具体方案可以去医院的正畸科拍一个片子，然后取模型然后做摸型分析，确定最终的治疗方案。 戴矫正器对你来说损害是比较小的。";2020/3/19
1753;"口腔颌面科";"左侧舌头表面摸起来粗糙有点硬有异物感怎么回事";"你好，只是舌苔有点厚，关系不大 平常保持好口腔卫生，买个可以刷舌头的牙刷，定期清理 食物参杂碎末残留在上面有时是有味道 不用太在意 这像淋巴滤泡 也没什么关系 有时会长到前面来尤其是舌头 你可以吃点消炎药，不要太把注意放这上面，对段时间看会好点不 注意好口腔卫生，多吃点蔬菜水果 嗯嗯，看到了，在正常范围内 你要实在不放心，还是去医院面检，毕竟我们面检不了，线上有局限";2020/3/19
1754;"口腔颌面科";"22岁男脸一边高一边低嘴歪";"您好！方便拍张照片看下吗 你好你检查过面神经功能没有 还有口内咬合关系，还需要拍cbct坚持两侧骨头大小是否对称，关节是否对称 需要一一排除 我今天晚班，只有有空的时候才能看手机，见谅，回复可能有点慢 不客气";2020/3/19
1755;"口腔颌面科";"孩子2岁半门牙蛀牙要怎么处理？要注意什么";"你好，需要去口腔科补牙，注意口腔卫生 可以补牙，一直不管后期有可能影响到 会有点，小孩实在不配合可能处理不了";2020/3/19
